Date,Open,High,Low,Close,Volume
2021-06-04,14.16,14.51,14.1,14.3,61846941
2021-06-07,14.4,15.09,14.31,15.09,124297343
2021-06-08,14.96,15.17,14.72,14.81,82497391
2021-06-09,14.7,14.96,14.33,14.64,64836935
2021-06-10,14.5,15.5,14.43,15.44,153164874
2021-06-11,15.27,15.37,14.74,14.76,108260039
2021-06-15,14.5,14.55,14.06,14.19,72674340
2021-06-16,14.1,14.31,13.97,13.97,46120406
2021-06-17,14.05,14.75,14.0,14.52,69682791
2021-06-18,14.52,14.69,14.21,14.36,52109723
2021-06-21,14.39,15.68,14.21,15.17,103918894
2021-06-22,15.23,15.4,14.75,14.98,81321136
2021-06-23,15.0,16.39,14.75,15.97,168058513
2021-06-24,15.96,16.28,15.53,15.75,83034701
2021-06-25,15.68,16.08,15.42,15.66,79069849
2021-06-28,15.54,15.85,15.35,15.47,61342483
2021-06-29,15.41,15.7,14.83,14.88,72411895
2021-06-30,15.08,15.15,14.3,14.6,81148405
2021-07-01,14.71,14.76,14.08,14.11,51585445
2021-07-02,14.07,14.42,13.99,14.1,48956640
2021-07-05,14.2,14.38,14.12,14.28,32795959
2021-07-06,14.28,14.65,14.07,14.45,51215523
2021-07-07,14.27,14.39,14.05,14.28,38636197
2021-07-08,14.24,15.0,14.14,14.87,95884979
2021-07-09,14.72,15.06,14.45,14.65,56129185
2021-07-12,14.61,15.25,14.52,15.08,82771832
2021-07-13,15.1,16.59,15.08,16.08,209817826
2021-07-14,15.81,15.81,14.82,14.82,155854806
2021-07-15,14.53,14.84,14.23,14.77,81263945
2021-07-16,14.68,15.1,14.5,14.8,68695426
2021-07-19,14.76,15.2,14.66,15.06,65286452
2021-07-20,14.9,15.05,14.6,14.91,43393030
2021-07-21,14.9,15.25,14.85,15.15,66779168
2021-07-22,15.21,15.26,14.77,14.83,59824517
2021-07-23,14.7,14.82,14.36,14.37,63134815
2021-07-26,14.36,14.7,14.15,14.55,60051791
2021-07-27,14.62,15.88,14.35,15.13,183316871
2021-07-28,15.0,15.23,14.24,14.4,105967034
2021-07-29,14.68,15.5,14.5,15.23,120051853
2021-07-30,15.44,16.16,15.3,15.95,183394819
2021-08-02,16.05,17.15,15.89,16.98,227078053
2021-08-03,16.98,17.53,16.53,16.67,179837053
2021-08-04,16.7,17.98,16.7,17.54,173386446
2021-08-05,17.25,17.79,16.96,17.46,123409901
2021-08-06,17.52,17.73,16.9,17.33,112522463
2021-08-09,17.9,18.5,16.98,17.2,140298752
2021-08-10,17.0,17.51,16.72,17.11,101424475
2021-08-11,17.12,17.24,16.8,16.99,75707274
2021-08-12,17.28,17.8,16.66,16.72,122053388
2021-08-13,16.38,16.55,16.07,16.19,101897999
2021-08-16,16.24,16.6,15.94,16.21,80679685
2021-08-17,16.16,16.32,15.52,15.55,74785468
2021-08-18,15.48,15.84,15.31,15.66,57240264
2021-08-19,15.55,15.7,15.32,15.45,45083697
2021-08-20,15.46,15.68,15.05,15.46,52642163
2021-08-23,15.59,16.02,15.53,15.78,62411194
2021-08-24,15.78,15.78,15.42,15.54,53375880
2021-08-25,15.53,15.75,15.39,15.65,40089301
2021-08-26,15.85,16.23,15.4,15.4,66375659
2021-08-27,15.14,15.14,14.37,14.57,91524749
2021-08-30,14.79,15.45,14.78,14.96,68649031
2021-08-31,15.01,15.1,14.35,14.69,69494986
2021-09-01,14.6,14.84,14.3,14.68,50894295
2021-09-02,14.62,14.66,14.34,14.45,44589099
2021-09-03,14.36,14.63,14.19,14.25,51527294
2021-09-06,14.26,14.42,13.9,14.4,47822462
2021-09-07,14.36,14.52,14.23,14.46,43275489
2021-09-08,14.46,14.72,14.36,14.41,59030726
2021-09-09,14.4,14.64,14.21,14.64,61081818
2021-09-10,14.6,14.98,14.53,14.85,60583743
2021-09-13,14.9,14.95,14.47,14.52,50349955
2021-09-14,14.49,14.83,14.39,14.52,45735728
2021-09-15,14.45,14.53,14.28,14.31,33955341
2021-09-16,14.27,14.27,13.38,13.42,75244044
2021-09-17,13.48,13.51,13.03,13.31,42156718
2021-09-22,13.13,13.42,13.06,13.25,20893458
2021-09-23,13.3,13.74,13.21,13.66,44861937
2021-09-24,13.55,13.75,13.41,13.43,27949962
2021-09-27,13.57,13.77,13.25,13.46,28503750
2021-09-28,13.39,13.44,13.18,13.23,20536249
2021-09-29,13.16,13.16,12.79,12.8,32621765
2021-09-30,13.22,13.48,13.17,13.19,27112886
2021-10-08,13.21,13.93,13.21,13.71,43108458
2021-10-11,13.5,13.58,13.34,13.56,27056245
2021-10-12,13.56,13.58,13.2,13.42,19566298
2021-10-13,13.65,13.75,13.46,13.61,20092810
2021-10-14,13.54,13.56,13.39,13.5,15386807
2021-10-15,13.48,13.74,13.48,13.63,24233611
2021-10-18,13.65,13.7,13.41,13.51,17786358
2021-10-19,13.51,13.73,13.47,13.66,21039473
2021-10-20,13.74,14.08,13.74,13.94,39223304
2021-10-21,13.78,13.88,13.7,13.74,20929021
2021-10-22,13.72,14.31,13.7,14.14,50150239
2021-10-25,14.07,14.16,13.9,14.15,28965453
2021-10-26,14.12,14.23,13.88,13.9,28337030
2021-10-27,13.97,13.98,13.31,13.36,38875142
2021-10-28,13.37,13.4,13.1,13.19,22908722
2021-10-29,13.25,13.5,13.2,13.45,19703363
2021-11-01,13.48,13.52,13.26,13.39,23345602
2021-11-02,13.39,13.62,13.11,13.24,30885076
2021-11-03,13.33,13.55,13.22,13.44,28480018
2021-11-04,13.35,13.97,13.35,13.79,42889022
2021-11-05,13.94,14.14,13.68,13.95,50884134
2021-11-08,13.96,14.05,13.76,14.0,29649755
2021-11-09,14.1,14.11,13.67,13.81,36843925
2021-11-10,13.81,14.09,13.75,13.92,35384637
2021-11-11,13.91,14.21,13.77,14.01,37357787
2021-11-12,14.01,14.09,13.92,13.95,26447233
2021-11-15,13.96,14.13,13.73,13.94,42204697
2021-11-16,13.9,14.1,13.77,13.78,37581494
2021-11-17,13.68,13.74,13.38,13.61,38944789
2021-11-18,13.61,13.9,13.53,13.53,33916957
2021-11-19,13.52,13.8,13.38,13.76,35046600
2021-11-22,13.81,14.59,13.77,14.41,97094073
2021-11-23,14.53,14.6,14.29,14.36,52115743
2021-11-24,14.35,14.38,14.14,14.17,37680912
2021-11-25,14.2,14.3,14.01,14.04,34145854
2021-11-26,14.0,14.06,13.8,13.94,35429858
2021-11-29,13.75,13.85,13.58,13.74,33157387
2021-11-30,13.87,14.28,13.83,14.06,56523449
2021-12-01,14.05,14.14,13.93,14.06,30551320
2021-12-02,14.06,14.06,13.74,13.74,37177199
2021-12-03,13.77,13.9,13.77,13.85,22712843
2021-12-06,13.98,14.13,13.75,13.97,41253078
2021-12-07,14.03,14.06,13.75,13.9,30819326
2021-12-08,13.98,14.22,13.89,14.19,50799639
2021-12-09,14.16,14.27,14.11,14.18,35402658
2021-12-10,14.19,14.28,13.97,14.05,39568070
2021-12-13,14.0,14.15,13.88,14.0,30636432
2021-12-14,13.93,14.04,13.88,13.95,22047557
2021-12-15,13.91,14.02,13.82,13.84,26911147
2021-12-16,13.93,13.95,13.83,13.9,19595386
2021-12-17,13.85,13.87,13.59,13.64,38263686
2021-12-20,13.74,13.76,13.61,13.63,18834615
2021-12-21,13.6,13.7,13.58,13.64,16119655
2021-12-22,13.71,13.85,13.67,13.72,25962342
2021-12-23,13.81,13.95,13.65,13.87,31533111
2021-12-24,13.8,13.86,13.63,13.68,24283208
2021-12-27,13.67,13.79,13.61,13.71,20552241
2021-12-28,13.78,13.95,13.71,13.95,32593652
2021-12-29,13.9,14.05,13.87,13.96,30863210
2021-12-30,14.01,14.65,14.0,14.35,79062388
2021-12-31,14.4,14.44,14.08,14.16,46709231
2022-01-04,14.24,14.93,14.23,14.67,83705296
2022-01-05,14.59,15.07,14.52,14.93,105929631
2022-01-06,14.8,14.92,14.56,14.88,56923632
2022-01-07,14.85,15.03,14.47,14.5,55037557
2022-01-10,14.68,15.85,14.6,15.43,147911145
2022-01-11,15.15,15.57,15.11,15.44,87750717
2022-01-12,15.4,15.6,15.2,15.37,55162392
2022-01-13,15.51,15.65,14.95,15.02,55571865
2022-01-14,14.9,15.12,14.75,14.94,42751818
2022-01-17,15.1,15.79,15.07,15.58,96114484
2022-01-18,15.51,15.95,15.27,15.44,90546508
2022-01-19,15.24,15.39,14.93,15.16,60593928
2022-01-20,15.15,15.17,14.84,14.93,42152150
2022-01-21,14.89,15.19,14.72,14.91,43668888
2022-01-24,14.81,15.12,14.6,14.73,41640376
2022-01-25,14.6,14.77,13.56,13.57,83595440
2022-01-26,13.82,13.88,13.42,13.62,49186753
2022-01-27,13.58,13.64,12.6,12.67,68674922
2022-01-28,12.78,12.96,12.58,12.7,41645598
2022-02-07,13.1,13.27,12.93,13.03,39337266
2022-02-08,13.04,13.26,12.85,13.25,27453179
2022-02-09,13.25,13.58,13.18,13.48,36579101
2022-02-10,13.45,13.56,13.35,13.39,23903132
2022-02-11,13.34,13.41,12.98,13.07,34713698
2022-02-14,13.04,13.08,12.75,12.9,21664068
2022-02-15,12.96,13.07,12.87,13.03,19984751
2022-02-16,13.18,13.2,12.95,13.07,19658831
2022-02-17,12.99,13.09,12.88,12.95,24612169
2022-02-18,13.07,13.36,13.05,13.24,39251392
2022-02-21,13.5,13.99,13.41,13.93,79713951
2022-02-22,13.75,13.87,13.52,13.65,44347818
