Date,Open,High,Low,Close,Volume
2021-06-04,2.5,2.51,2.48,2.49,51082326
2021-06-07,2.49,2.52,2.48,2.51,50768838
2021-06-08,2.5,2.52,2.47,2.5,57474026
2021-06-09,2.5,2.5,2.46,2.46,53623888
2021-06-10,2.46,2.48,2.45,2.45,45398464
2021-06-11,2.46,2.5,2.45,2.48,82561167
2021-06-15,2.49,2.49,2.42,2.42,49823792
2021-06-16,2.42,2.47,2.4,2.46,53228809
2021-06-17,2.46,2.49,2.42,2.43,38990191
2021-06-18,2.43,2.44,2.4,2.41,30848844
2021-06-21,2.4,2.41,2.38,2.39,37822293
2021-06-22,2.38,2.43,2.38,2.39,55471019
2021-06-23,2.39,2.41,2.38,2.4,24268310
2021-06-24,2.39,2.42,2.39,2.4,30549117
2021-06-25,2.4,2.43,2.39,2.42,37358287
2021-06-28,2.45,2.48,2.45,2.46,50058192
2021-06-29,2.46,2.46,2.42,2.42,38085145
2021-06-30,2.43,2.44,2.41,2.43,30469546
2021-07-01,2.44,2.44,2.39,2.39,32676121
2021-07-02,2.39,2.42,2.38,2.39,35074459
2021-07-05,2.39,2.42,2.38,2.42,33142845
2021-07-06,2.41,2.43,2.4,2.43,28048284
2021-07-07,2.4,2.41,2.38,2.39,26624637
2021-07-08,2.4,2.4,2.36,2.37,29785314
2021-07-09,2.36,2.37,2.33,2.35,29428525
2021-07-12,2.36,2.37,2.33,2.33,37770417
2021-07-13,2.33,2.35,2.32,2.35,33485999
2021-07-14,2.35,2.36,2.34,2.34,31276309
2021-07-15,2.34,2.35,2.31,2.32,28930884
2021-07-16,2.31,2.33,2.3,2.31,22660592
2021-07-19,2.3,2.31,2.27,2.28,36506800
2021-07-20,2.27,2.29,2.23,2.29,41526087
2021-07-21,2.28,2.3,2.26,2.26,33545024
2021-07-22,2.26,2.3,2.26,2.29,33967727
2021-07-23,2.28,2.31,2.28,2.3,29067916
2021-07-26,2.29,2.3,2.26,2.27,37112292
2021-07-27,2.27,2.29,2.24,2.25,36739325
2021-07-28,2.25,2.26,2.21,2.21,36872880
2021-07-29,2.22,2.24,2.21,2.22,35956686
2021-07-30,2.22,2.29,2.22,2.29,53066261
2021-08-02,2.3,2.34,2.27,2.33,66946627
2021-08-03,2.34,2.39,2.32,2.36,74003249
2021-08-04,2.36,2.38,2.35,2.37,47101928
2021-08-05,2.37,2.38,2.34,2.37,37349746
2021-08-06,2.37,2.37,2.34,2.35,32300558
2021-08-09,2.36,2.38,2.35,2.36,39157148
2021-08-10,2.36,2.37,2.32,2.34,38033296
2021-08-11,2.34,2.38,2.33,2.36,46025803
2021-08-12,2.37,2.39,2.35,2.39,57927567
2021-08-13,2.39,2.41,2.38,2.4,51125028
2021-08-16,2.39,2.44,2.39,2.43,73686523
2021-08-17,2.42,2.46,2.41,2.42,78815261
2021-08-18,2.42,2.47,2.41,2.46,60433073
2021-08-19,2.46,2.51,2.44,2.5,100122243
2021-08-20,2.5,2.51,2.43,2.49,91510722
2021-08-23,2.5,2.59,2.48,2.58,142883030
2021-08-24,2.56,2.57,2.42,2.44,199786174
2021-08-25,2.44,2.48,2.4,2.46,76558694
2021-08-26,2.45,2.47,2.42,2.45,57725158
2021-08-27,2.45,2.49,2.44,2.46,64979607
2021-08-30,2.45,2.46,2.41,2.41,96685570
2021-08-31,2.42,2.48,2.42,2.47,82180031
2021-09-01,2.48,2.57,2.48,2.54,145171803
2021-09-02,2.54,2.7,2.53,2.68,247553749
2021-09-03,2.68,2.8,2.66,2.75,274282406
2021-09-06,2.79,2.85,2.72,2.77,173866391
2021-09-07,2.75,2.78,2.71,2.76,125597141
2021-09-08,2.77,3.04,2.76,3.0,389322908
2021-09-09,3.0,3.01,2.86,2.94,245563901
2021-09-10,2.92,2.97,2.85,2.86,185645747
2021-09-13,2.85,2.93,2.82,2.91,120635788
2021-09-14,2.92,2.95,2.8,2.82,163172749
2021-09-15,2.8,2.89,2.79,2.86,128016416
2021-09-16,2.86,2.92,2.83,2.85,135345568
2021-09-17,2.89,2.98,2.87,2.96,217365443
2021-09-22,2.94,3.26,2.92,3.26,503201032
2021-09-23,3.59,3.59,3.41,3.59,678359888
2021-09-24,3.55,3.68,3.39,3.47,917943722
2021-09-27,3.59,3.6,3.12,3.12,656283531
2021-09-28,3.02,3.33,3.01,3.31,573754066
2021-09-29,3.2,3.35,3.14,3.19,382382209
2021-09-30,3.18,3.29,3.07,3.25,336921896
2021-10-08,3.29,3.3,3.06,3.13,259602627
2021-10-11,3.2,3.27,3.08,3.11,230544486
2021-10-12,3.06,3.11,2.8,2.94,382546132
2021-10-13,2.92,2.92,2.75,2.8,230817316
2021-10-14,2.78,2.84,2.71,2.78,147048337
2021-10-15,2.77,2.82,2.72,2.77,127285375
2021-10-18,2.78,2.85,2.77,2.8,173565820
2021-10-19,2.79,2.81,2.73,2.78,144300289
2021-10-20,2.81,3.06,2.78,3.06,431453898
2021-10-21,3.06,3.06,2.95,2.97,297721616
2021-10-22,2.96,3.0,2.8,2.83,289522965
2021-10-25,2.82,2.89,2.78,2.84,165960799
2021-10-26,2.83,2.91,2.8,2.84,169572366
2021-10-27,2.8,3.01,2.79,2.93,293337632
2021-10-28,2.92,3.0,2.84,2.87,218686308
2021-10-29,2.83,2.86,2.69,2.79,197175851
2021-11-01,2.71,2.79,2.68,2.74,173332806
2021-11-02,2.74,2.75,2.59,2.63,180342236
2021-11-03,2.62,2.65,2.58,2.61,104335578
2021-11-04,2.61,2.66,2.58,2.64,105262767
2021-11-05,2.62,2.63,2.49,2.5,160009790
2021-11-08,2.48,2.52,2.46,2.48,69520150
2021-11-09,2.5,2.55,2.48,2.5,78792370
2021-11-10,2.49,2.49,2.41,2.46,93457052
2021-11-11,2.45,2.48,2.44,2.47,63896221
2021-11-12,2.47,2.48,2.44,2.46,62675896
2021-11-15,2.47,2.48,2.43,2.47,67757852
2021-11-16,2.45,2.47,2.43,2.45,60273787
2021-11-17,2.44,2.47,2.42,2.47,65366834
2021-11-18,2.47,2.51,2.45,2.49,94737789
2021-11-19,2.5,2.51,2.47,2.5,58467106
2021-11-22,2.5,2.53,2.5,2.5,57423875
2021-11-23,2.5,2.56,2.49,2.54,89881568
2021-11-24,2.57,2.58,2.51,2.56,95245832
2021-11-25,2.56,2.63,2.55,2.58,107629505
2021-11-26,2.57,2.57,2.52,2.54,67292200
2021-11-29,2.5,2.57,2.48,2.56,78791172
2021-11-30,2.56,2.62,2.51,2.54,144160338
2021-12-01,2.53,2.6,2.51,2.59,98531764
2021-12-02,2.57,2.61,2.56,2.57,85727504
2021-12-03,2.57,2.69,2.55,2.68,183879745
2021-12-06,2.68,2.78,2.68,2.7,183268984
2021-12-07,2.7,2.83,2.66,2.82,206659931
2021-12-08,2.84,2.84,2.75,2.8,162773927
2021-12-09,2.81,3.03,2.8,2.95,263677856
2021-12-10,2.91,3.06,2.89,2.91,233361139
2021-12-13,2.93,3.01,2.9,2.91,238625942
