Date,Open,High,Low,Close,Volume
2021-06-07,9.59,9.68,9.59,9.64,11741282
2021-06-08,9.66,9.66,9.52,9.55,15971889
2021-06-09,9.55,9.78,9.54,9.67,22394713
2021-06-10,9.67,9.74,9.61,9.65,12548899
2021-06-11,9.71,9.81,9.63,9.69,20621020
2021-06-15,9.68,9.73,9.5,9.57,17835207
2021-06-16,9.57,9.63,9.43,9.58,17192835
2021-06-17,9.63,9.72,9.52,9.6,18205391
2021-06-18,9.62,9.63,9.45,9.49,19243982
2021-06-21,9.44,9.5,9.39,9.41,16051961
2021-06-22,9.41,9.42,9.26,9.31,26193134
2021-06-23,9.32,9.43,9.31,9.37,18892527
2021-06-24,9.37,9.71,9.35,9.66,22873645
2021-06-25,9.63,9.71,9.58,9.61,13035756
2021-06-28,9.73,10.01,9.73,9.84,24925459
2021-06-29,9.82,9.82,9.59,9.59,17492165
2021-06-30,9.58,9.66,9.51,9.61,9867987
2021-07-01,9.61,9.69,9.53,9.64,9658398
2021-07-02,9.58,9.64,9.53,9.55,9636619
2021-07-05,9.58,9.58,9.39,9.5,13814236
2021-07-06,9.5,9.91,9.5,9.88,24534012
2021-07-07,9.88,9.92,9.78,9.84,11843671
2021-07-08,9.86,10.03,9.71,9.75,11774537
2021-07-09,9.75,9.79,9.69,9.74,10082263
2021-07-12,9.76,9.76,9.5,9.58,21608715
2021-07-13,9.58,9.88,9.52,9.87,17535982
2021-07-14,9.89,9.93,9.7,9.78,14405339
2021-07-15,9.78,9.8,9.68,9.72,8387992
2021-07-16,9.74,9.83,9.69,9.71,10733817
2021-07-19,9.7,9.74,9.57,9.7,14354870
2021-07-20,9.49,9.49,8.9,8.98,54966773
2021-07-21,8.97,9.04,8.8,8.86,25297868
2021-07-22,8.88,9.05,8.83,8.93,12500841
2021-07-23,8.93,8.96,8.8,8.85,13339316
2021-07-26,8.83,8.87,8.56,8.62,17567262
2021-07-27,8.64,8.68,8.32,8.35,19609701
2021-07-28,8.39,8.45,8.22,8.41,18308134
2021-07-29,8.44,8.5,8.28,8.32,15028340
2021-07-30,8.35,8.59,8.35,8.49,17299730
2021-08-02,8.48,8.71,8.38,8.63,16633098
2021-08-03,8.64,8.76,8.56,8.67,13962072
2021-08-04,8.63,8.75,8.56,8.62,10305334
2021-08-05,8.62,8.73,8.62,8.68,11119092
2021-08-06,8.73,8.9,8.68,8.8,14442294
2021-08-09,8.8,9.03,8.77,9.01,12817630
2021-08-10,8.99,9.24,8.98,9.08,18903707
2021-08-11,9.11,9.19,9.03,9.1,16073866
2021-08-12,9.11,9.2,9.07,9.13,9633330
2021-08-13,9.16,9.17,9.07,9.12,7929733
2021-08-16,9.1,9.19,9.09,9.13,8918033
2021-08-17,9.16,9.22,8.98,9.01,14123454
2021-08-18,8.75,8.91,8.72,8.85,13000965
2021-08-19,8.87,8.95,8.77,8.89,12843676
2021-08-20,8.91,8.99,8.77,8.92,15844597
2021-08-23,8.91,9.02,8.84,8.88,11126238
2021-08-24,8.88,9.5,8.88,9.45,39962700
2021-08-25,9.39,9.39,9.2,9.21,11399940
2021-08-26,9.21,9.21,9.06,9.07,9177704
2021-08-27,9.07,9.17,8.93,9.01,12476894
