date,balance
2010-03-31,6495609.0
2010-04-08,44701539.0
2010-04-09,70396638.0
2010-04-12,113874011.0
2010-04-15,151079574.0
2010-04-19,185858665.0
2010-04-21,203052194.0
2010-04-22,255823022.0
2010-04-23,260855943.0
2010-04-26,291675179.0
2010-04-27,320128377.0
2010-04-28,353372191.0
2010-04-29,367582591.0
2010-04-30,381443354.0
2010-05-04,395098986.0
2010-05-05,475709612.0
2010-05-06,530310718.0
2010-05-07,527400164.0
2010-05-10,554363992.0
2010-05-11,589333318.0
2010-05-12,615452424.0
2010-05-13,633079737.0
2010-05-14,661363472.0
2010-05-17,730562192.0
2010-05-18,744527444.0
2010-05-19,761580286.0
2010-05-20,788436529.0
2010-05-21,817407102.0
2010-05-24,908771432.0
2010-05-25,936903447.0
2010-05-27,979875745.0
2010-05-28,1018328069.0
2010-05-31,1026415657.0
2010-06-01,1048893700.0
2010-06-02,1067251367.0
2010-06-03,1117185262.0
2010-06-04,1130762556.0
2010-06-07,1131897100.0
2010-06-08,1132852762.0
2010-06-09,1229580163.0
2010-06-10,1239721616.0
2010-06-11,1237994872.0
2010-06-17,1261723964.0
2010-06-18,1294569520.0
2010-06-21,1341262202.0
2010-06-22,1383078518.0
2010-06-23,1385363994.0
2010-06-24,1425798020.0
2010-06-25,1426071025.0
2010-06-28,1473509845.0
2010-06-29,1461043702.0
2010-06-30,1483660376.0
2010-07-01,1469361631.0
2010-07-02,1497751374.0
2010-07-05,1596118993.0
2010-07-06,1655236169.0
2010-07-07,1692874519.0
2010-07-08,1735329116.0
2010-07-09,1798874680.0
2010-07-12,1903358845.0
2010-07-13,1999621337.0
2010-07-14,1982357613.0
2010-07-15,2012869984.0
2010-07-16,2051286756.0
2010-07-19,2036001551.0
2010-07-20,2206995976.0
2010-07-21,2247537853.0
2010-07-22,2290944745.0
2010-07-23,2340515806.0
2010-07-26,2393351226.0
2010-07-27,2441703504.0
2010-07-28,2452235511.0
2010-07-29,2457306024.0
2010-07-30,2506787080.0
2010-08-02,2621318819.0
2010-08-03,2693034588.0
2010-08-04,2776527205.0
2010-08-05,2863186813.0
2010-08-06,2889482976.0
2010-08-09,2918328591.0
2010-08-10,2929688968.0
2010-08-11,2998760939.0
2010-08-12,2960641711.0
2010-08-13,3010908740.0
2010-08-16,3130599673.0
2010-08-17,3179669073.0
2010-08-18,3245754525.0
2010-08-19,3323539172.0
2010-08-20,3335206340.0
2010-08-23,3385454724.0
2010-08-24,3544802402.0
2010-08-25,3557006974.0
2010-08-26,3547717060.0
2010-08-27,3612721168.0
2010-08-30,3672863957.0
2010-08-31,3759342631.0
2010-09-01,3840990756.0
2010-09-02,3875467640.0
2010-09-03,3820442816.0
2010-09-06,3900044847.0
2010-09-07,3898883055.0
2010-09-08,4091126177.0
2010-09-09,4179261843.0
2010-09-10,4235214361.0
2010-09-13,4339725642.0
2010-09-14,4361787341.0
2010-09-15,4349255762.0
2010-09-16,4396381428.0
2010-09-17,4430523889.0
2010-09-20,4490377834.0
2010-09-21,4444686563.0
2010-09-27,4570659084.0
2010-09-28,4600238601.0
2010-09-29,4638985761.0
2010-09-30,4685923280.0
2010-10-08,4775239342.0
2010-10-11,4729877082.0
2010-10-12,4829459830.0
2010-10-13,4981004876.0
2010-10-14,4980957121.0
2010-10-15,5143791121.0
2010-10-18,5170458255.0
2010-10-19,5385988507.0
2010-10-20,5688234062.0
2010-10-21,5838115657.0
2010-10-22,6032061619.0
2010-10-25,6366949420.0
2010-10-26,6522077443.0
2010-10-27,6757162438.0
2010-10-28,6896798867.0
2010-10-29,6951066505.0
2010-11-01,7194172573.0
2010-11-02,7187809068.0
2010-11-03,7335818519.0
2010-11-04,7565930186.0
2010-11-05,7773243718.0
2010-11-08,8169295429.0
2010-11-09,8434850468.0
2010-11-10,8760115150.0
2010-11-11,9035686677.0
2010-11-12,8691480814.0
2010-11-15,9034111222.0
2010-11-16,8954962635.0
2010-11-17,9050680189.0
2010-11-18,9040716512.0
2010-11-19,8832507443.0
2010-11-23,9042601308.0
2010-11-24,9218956790.0
2010-11-25,9434719304.0
2010-11-26,9377472284.0
2010-11-29,9410985281.0
2010-11-30,9381653979.0
2010-12-01,9425491676.0
2010-12-02,9532079736.0
2010-12-03,9639819870.0
2010-12-06,9756237954.0
2010-12-07,9868086266.0
2010-12-08,9940516185.0
2010-12-09,10195298771.0
2010-12-10,10399768879.0
2010-12-13,11068644247.0
2010-12-14,11248413779.0
2010-12-15,11406501858.0
2010-12-16,11538934217.0
2010-12-17,11520186734.0
2010-12-20,11461505348.0
2010-12-21,11571298022.0
2010-12-22,11877067417.0
2010-12-23,11941251743.0
2010-12-24,12044066609.0
2010-12-27,12201528449.0
2010-12-28,12203987649.0
2010-12-29,12379324066.0
2010-12-30,12514981848.0
2010-12-31,12760582781.0
2011-01-04,12840732383.0
