Date,Open,High,Low,Close,Volume
2021-06-04,289.62,296.12,287.13,292.92,175288.0
2021-06-07,293.98,295.05,286.49,290.53,187370.0
2021-06-08,290.62,291.12,269.61,275.57,311653.0
2021-06-09,274.62,277.62,269.17,274.12,171577.0
2021-06-10,274.63,283.12,273.12,280.67,150773.0
2021-06-11,280.68,281.62,273.62,279.19,159128.0
2021-06-15,279.14,281.67,270.39,276.88,145161.0
2021-06-16,276.88,276.88,266.84,269.94,140630.0
2021-06-17,268.73,275.62,268.73,271.84,109046.0
2021-06-18,272.93,274.62,263.62,268.62,190716.0
2021-06-21,270.62,274.92,268.62,274.49,206028.0
2021-06-22,275.62,280.12,274.92,277.51,161664.0
2021-06-23,276.92,277.12,267.62,268.56,230564.0
2021-06-24,266.12,272.62,261.8,270.32,165518.0
2021-06-25,268.67,279.0,268.5,277.54,205223.0
2021-06-28,277.63,284.15,277.63,283.93,161254.0
2021-06-29,284.1,284.26,274.3,276.17,156720.0
2021-06-30,273.62,280.02,273.11,275.51,103395.0
2021-07-01,274.37,276.62,269.62,275.82,136310.0
2021-07-02,271.62,272.31,262.82,263.65,211692.0
2021-07-05,261.79,266.12,257.64,258.72,180543.0
2021-07-06,257.47,258.65,247.84,254.87,238955.0
2021-07-07,257.62,262.62,256.5,262.21,174544.0
2021-07-08,262.62,263.41,245.24,247.46,439576.0
2021-07-09,249.65,250.78,242.2,247.48,213674.0
2021-07-12,250.2,253.16,242.89,251.15,264247.0
2021-07-13,251.17,259.54,251.17,256.2,218997.0
2021-07-14,254.1,257.2,248.2,255.5,209218.0
2021-07-15,255.2,261.4,252.91,261.03,195495.0
2021-07-16,261.05,263.56,257.2,257.72,151514.0
2021-07-19,256.0,262.7,254.69,261.09,143320.0
2021-07-20,259.2,264.41,257.97,262.5,130092.0
2021-07-21,262.49,266.17,260.21,261.42,149605.0
2021-07-22,262.71,264.86,258.85,260.3,143104.0
2021-07-23,259.06,259.2,248.32,251.41,212304.0
2021-07-26,248.86,248.86,224.29,229.74,462131.0
2021-07-27,227.2,229.0,211.2,211.35,423313.0
2021-07-28,211.38,218.1,205.09,216.88,361143.0
2021-07-29,225.64,225.99,213.88,215.25,313222.0
2021-07-30,215.26,215.26,197.04,200.95,427979.0
2021-08-02,195.57,215.1,192.35,214.65,468444.0
