Date,Open,High,Low,Close,Volume
2021-06-04,14.71,14.94,14.65,14.72,6428041.0
2021-06-07,14.92,14.94,14.74,14.85,5248156.0
2021-06-08,14.82,14.96,14.66,14.94,6541786.0
2021-06-09,14.97,15.29,14.83,14.92,7765441.0
2021-06-10,14.94,15.08,14.7,15.07,5693019.0
2021-06-11,15.0,15.08,14.71,14.71,8997395.0
2021-06-15,14.72,15.46,14.66,15.27,13522473.0
2021-06-16,15.25,15.55,14.98,15.02,5993648.0
2021-06-17,15.0,15.42,14.91,15.4,7091026.0
2021-06-18,15.38,15.65,15.21,15.6,7605016.0
2021-06-21,15.51,15.7,15.42,15.62,7906942.0
2021-06-22,15.66,15.77,15.4,15.43,6963749.0
2021-06-23,15.55,15.62,15.25,15.52,6189095.0
2021-06-24,16.14,16.23,15.5,15.6,13269957.0
2021-06-25,15.45,15.45,15.17,15.29,7170890.0
2021-06-28,15.21,15.47,15.21,15.32,3945865.0
2021-06-29,15.23,15.32,14.86,14.96,5596577.0
2021-06-30,14.95,15.08,14.9,15.07,3506368.0
2021-07-01,15.08,15.2,14.69,14.69,4336324.0
2021-07-02,14.69,14.82,14.49,14.51,3736836.0
2021-07-05,14.48,14.75,14.46,14.62,2682100.0
2021-07-06,14.62,14.79,14.5,14.73,2899864.0
2021-07-07,14.69,14.79,14.57,14.71,3728336.0
2021-07-08,14.71,15.03,14.65,14.91,5934428.0
2021-07-09,14.92,14.98,14.54,14.74,5806807.0
2021-07-12,14.7,15.09,14.56,14.99,5492820.0
2021-07-13,14.98,15.11,14.85,15.05,4562091.0
2021-07-14,15.01,15.03,14.74,14.77,4437580.0
2021-07-15,14.77,14.85,14.48,14.64,4527080.0
2021-07-16,14.62,15.01,14.46,14.85,6859577.0
2021-07-19,14.81,14.96,14.41,14.47,8640632.0
2021-07-20,14.4,14.46,14.01,14.21,7855336.0
2021-07-21,14.28,14.45,14.24,14.27,5995340.0
2021-07-22,14.4,14.4,14.16,14.19,8764082.0
2021-07-23,14.2,14.27,13.76,13.96,16257837.0
2021-07-26,13.96,14.17,13.63,13.78,13372532.0
2021-07-27,13.83,14.26,13.72,13.95,12878157.0
2021-07-28,13.88,13.88,13.21,13.33,9848756.0
2021-07-29,13.46,13.56,13.21,13.52,8020120.0
2021-07-30,13.45,13.64,13.34,13.51,5596864.0
2021-08-02,13.58,14.06,13.48,13.91,8091790.0
2021-08-03,13.91,14.1,13.74,13.78,6467125.0
2021-08-04,13.8,14.11,13.8,14.01,6714401.0
2021-08-05,13.99,14.64,13.9,14.41,16185872.0
2021-08-06,14.52,14.65,14.3,14.53,12427388.0
2021-08-09,14.68,14.82,14.51,14.53,10483722.0
2021-08-10,14.51,15.07,14.45,14.77,18761517.0
2021-08-11,14.77,15.0,14.7,14.79,9417098.0
2021-08-12,14.7,14.91,14.6,14.71,8452904.0
2021-08-13,14.72,15.08,14.71,14.81,10253270.0
2021-08-16,14.93,15.08,14.67,14.79,11453638.0
2021-08-17,14.75,14.88,14.29,14.34,11351677.0
2021-08-18,14.4,15.0,14.36,14.89,12092505.0
2021-08-19,14.84,15.22,14.66,15.2,15945680.0
2021-08-20,15.35,15.37,14.86,15.26,17793178.0
2021-08-23,15.26,16.03,15.06,15.85,20838579.0
2021-08-24,15.55,15.86,15.26,15.76,18011291.0
2021-08-25,15.66,16.31,15.6,16.21,22671373.0
2021-08-26,16.31,17.83,16.19,17.66,52898661.0
2021-08-27,17.5,17.87,15.89,15.91,46147676.0
2021-08-30,15.45,15.67,14.97,15.04,37898087.0
2021-08-31,15.09,15.19,14.66,14.78,16803885.0
2021-09-01,14.79,14.92,14.41,14.73,16959450.0
2021-09-02,14.66,14.86,14.52,14.81,11189155.0
2021-09-03,14.77,14.77,14.11,14.27,17445525.0
2021-09-06,14.26,14.53,14.2,14.49,6788537.0
2021-09-07,14.49,14.68,14.38,14.65,10371630.0
2021-09-08,14.67,14.67,14.37,14.5,10335536.0
2021-09-09,14.45,14.5,14.1,14.39,15445771.0
2021-09-10,14.38,14.53,14.28,14.32,7934150.0
2021-09-13,14.33,14.39,14.2,14.33,6414710.0
2021-09-14,14.28,14.43,14.09,14.09,8420528.0
2021-09-15,14.05,14.14,13.97,14.01,6679324.0
2021-09-16,14.03,14.12,13.88,13.88,8266425.0
2021-09-17,13.94,14.02,13.79,14.02,5839893.0
2021-09-22,13.92,14.15,13.81,14.11,5711549.0
2021-09-23,14.19,14.3,14.11,14.27,6233384.0
2021-09-24,14.27,14.27,13.94,13.98,6494673.0
2021-09-27,13.98,14.04,13.78,13.84,5499065.0
2021-09-28,13.84,13.92,13.77,13.79,3464703.0
2021-09-29,13.81,13.85,13.39,13.52,6361700.0
2021-09-30,13.54,13.72,13.5,13.68,3897165.0
2021-10-08,13.75,13.93,13.7,13.83,4236977.0
2021-10-11,13.84,14.05,13.8,14.0,6029862.0
2021-10-12,13.98,14.01,13.83,13.89,4213437.0
2021-10-13,13.9,14.28,13.85,14.24,5768781.0
2021-10-14,14.23,14.26,14.06,14.18,3499652.0
2021-10-15,14.15,14.29,14.08,14.1,3492328.0
2021-10-18,14.08,14.34,14.03,14.29,5624072.0
2021-10-19,14.25,14.82,14.14,14.76,14986771.0
2021-10-20,14.67,14.84,14.55,14.68,8338266.0
2021-10-21,14.59,14.88,14.43,14.51,7118159.0
2021-10-22,14.45,14.59,14.32,14.34,5441946.0
2021-10-25,14.34,14.73,14.15,14.57,6039687.0
2021-10-26,14.51,15.04,14.49,14.87,13359473.0
2021-10-27,15.04,15.09,14.63,14.88,8806749.0
2021-10-28,14.85,14.85,14.23,14.4,8413856.0
2021-10-29,14.36,14.95,14.3,14.77,7886245.0
2021-11-01,14.84,15.13,14.62,15.0,9765138.0
2021-11-02,14.99,15.28,14.83,15.05,11592215.0
2021-11-03,15.02,15.08,14.76,14.86,7351415.0
2021-11-04,14.86,15.13,14.79,14.99,7679365.0
2021-11-05,14.98,15.13,14.72,14.73,8294804.0
2021-11-08,14.7,14.77,14.46,14.68,8170683.0
2021-11-09,14.73,15.92,14.69,15.49,24591351.0
2021-11-10,15.48,15.79,15.41,15.64,15316908.0
2021-11-11,15.49,16.23,15.43,16.02,17042980.0
2021-11-12,16.0,17.3,15.86,17.11,37327078.0
2021-11-15,16.96,17.2,16.15,16.39,25904142.0
2021-11-16,16.2,16.44,15.54,15.67,22169015.0
2021-11-17,15.73,16.53,15.64,16.4,20035063.0
2021-11-18,16.3,17.04,16.07,16.79,15555699.0
2021-11-19,16.81,16.94,16.49,16.62,10746927.0
2021-11-22,16.55,16.88,16.41,16.81,10701964.0
2021-11-23,16.78,16.95,16.55,16.6,6936153.0
2021-11-24,16.59,17.06,16.22,16.29,11513938.0
2021-11-25,16.4,16.85,16.26,16.52,8179425.0
2021-11-26,16.4,16.68,16.19,16.35,8817355.0
2021-11-29,16.2,16.7,16.02,16.48,8266177.0
2021-11-30,16.58,17.55,16.53,17.13,18050755.0
2021-12-01,17.21,17.28,16.79,16.91,7420192.0
2021-12-02,16.88,17.07,16.8,16.86,6339568.0
2021-12-03,16.87,17.11,16.76,16.87,7640216.0
2021-12-06,16.9,17.45,16.71,17.14,14198370.0
2021-12-07,17.2,17.28,16.18,16.48,17156815.0
2021-12-08,16.49,17.28,16.49,16.96,10958117.0
2021-12-09,16.97,17.24,16.62,16.97,10012345.0
2021-12-10,16.9,16.9,16.29,16.61,14698268.0
2021-12-13,16.61,16.65,16.09,16.44,9900355.0
2021-12-14,16.54,16.92,16.4,16.88,9596622.0
2021-12-15,16.9,18.18,16.88,17.52,22563171.0
2021-12-16,17.73,17.8,17.29,17.5,9907120.0
2021-12-17,17.51,18.33,17.42,17.51,19493197.0
2021-12-20,17.54,18.4,17.54,17.96,17263150.0
2021-12-21,17.92,18.12,17.61,17.93,8846912.0
2021-12-22,18.06,18.31,17.79,18.28,10843848.0
2021-12-23,18.24,18.24,17.7,17.8,10684476.0
2021-12-24,17.96,18.0,17.58,17.68,9129946.0
2021-12-27,17.65,17.95,17.44,17.81,6263663.0
2021-12-28,17.71,17.89,17.41,17.77,5658660.0
2021-12-29,17.79,18.02,17.62,17.95,7943581.0
2021-12-30,17.82,18.55,17.81,18.33,14536766.0
2021-12-31,18.4,18.96,18.18,18.38,12617298.0
2022-01-04,18.35,18.55,18.13,18.38,8395905.0
2022-01-05,18.4,18.44,17.46,17.68,10172648.0
2022-01-06,17.5,17.88,17.01,17.79,9675237.0
2022-01-07,17.76,18.09,17.62,17.8,7141221.0
2022-01-10,17.71,17.91,17.4,17.56,4784832.0
2022-01-11,17.63,17.68,16.58,16.64,12387976.0
2022-01-12,16.73,16.97,16.6,16.91,6301392.0
2022-01-13,16.91,16.99,16.31,16.65,6386507.0
2022-01-14,16.47,16.89,16.41,16.6,4305754.0
2022-01-17,16.7,17.8,16.7,17.41,10044421.0
2022-01-18,17.51,17.53,17.07,17.1,5286278.0
2022-01-19,17.0,17.13,16.52,16.63,6478827.0
2022-01-20,16.63,16.7,15.86,15.95,8823387.0
2022-01-21,15.83,15.94,15.41,15.59,6316632.0
2022-01-24,15.68,16.0,15.53,15.63,3878476.0
2022-01-25,15.7,16.08,15.42,15.66,6577290.0
2022-01-26,15.56,15.86,15.47,15.66,4949454.0
2022-01-27,15.68,15.8,15.06,15.08,4233964.0
2022-01-28,15.16,15.56,15.09,15.33,4242792.0
2022-02-07,15.64,15.66,15.32,15.39,3230343.0
2022-02-08,15.39,15.44,14.91,15.28,5258428.0
2022-02-09,15.28,15.69,15.22,15.64,5255762.0
2022-02-10,15.66,15.7,15.32,15.4,3589917.0
2022-02-11,15.33,15.38,15.05,15.07,4431418.0
2022-02-14,15.14,15.42,15.04,15.27,4001094.0
2022-02-15,15.27,15.87,15.11,15.77,7318386.0
2022-02-16,15.77,15.77,15.53,15.66,4670205.0
2022-02-17,15.56,16.08,15.5,15.97,4495130.0
2022-02-18,15.94,16.22,15.8,16.11,3458195.0
2022-02-21,16.0,16.27,15.96,16.2,2643148.0
2022-02-22,16.28,16.38,15.9,16.15,4049564.0
2022-02-23,16.15,16.88,16.05,16.8,7646848.0
2022-02-24,16.68,17.08,16.52,16.82,10681631.0
2022-02-25,16.83,16.95,16.67,16.89,4484608.0
2022-02-28,16.99,17.34,16.75,16.97,5656583.0
2022-03-01,16.99,17.24,16.83,17.14,3476511.0
2022-03-02,17.2,17.2,16.85,16.87,4192088.0
2022-03-03,16.96,17.05,16.32,16.35,7503981.0
2022-03-04,16.44,16.64,16.15,16.31,5802995.0
2022-03-07,16.39,16.45,16.1,16.15,5406023.0
2022-03-08,16.13,16.25,15.51,15.79,5820064.0
2022-03-09,15.82,15.94,14.96,15.79,8013941.0
2022-03-10,15.9,16.35,15.86,16.28,6697623.0
2022-03-11,16.19,16.19,15.63,16.08,4292526.0
2022-03-14,16.0,16.46,15.83,16.04,4882212.0
2022-03-15,15.96,16.02,15.25,15.26,6604634.0
2022-03-16,15.52,15.8,14.92,15.75,5192346.0
2022-03-17,15.87,16.25,15.76,15.99,4156921.0
2022-03-18,15.98,16.08,15.79,15.99,2022833.0
2022-03-21,15.99,16.42,15.96,16.08,2859692.0
2022-03-22,16.08,16.19,15.9,16.01,3468182.0
2022-03-23,16.01,16.75,15.92,16.67,7188694.0
2022-03-24,16.63,16.76,16.34,16.55,4730133.0
2022-03-25,16.5,16.65,16.15,16.17,2655751.0
2022-03-28,16.06,16.12,15.66,15.91,2102221.0
2022-03-29,15.91,16.21,15.62,15.67,2381631.0
2022-03-30,15.7,16.17,15.68,16.17,2704572.0
2022-03-31,16.19,16.19,15.77,15.97,1936207.0
2022-04-01,15.91,15.96,15.73,15.75,1411100.0
2022-04-06,15.75,15.76,15.31,15.42,3752988.0
2022-04-07,15.34,15.58,15.09,15.15,2535865.0
2022-04-08,15.15,15.46,14.95,15.23,3269655.0
2022-04-11,15.23,15.23,14.53,14.75,3292253.0
2022-04-12,14.74,14.93,14.47,14.9,2608315.0
2022-04-13,14.85,14.86,14.5,14.58,1731969.0
2022-04-14,14.61,14.77,14.59,14.63,905810.0
2022-04-15,14.63,14.85,14.47,14.58,1690883.0
2022-04-18,14.55,14.89,14.28,14.79,2086911.0
2022-04-19,14.8,14.99,14.64,14.93,3007620.0
2022-04-20,14.85,14.95,14.61,14.83,1496650.0
2022-04-21,14.77,14.9,14.44,14.84,5183558.0
2022-04-22,14.75,14.81,14.4,14.75,2754968.0
2022-04-25,14.55,14.57,13.68,13.77,3937182.0
2022-04-26,13.3,13.67,12.75,12.81,3665180.0
2022-04-27,12.67,13.7,12.55,13.61,5701681.0
2022-04-28,13.5,13.78,13.13,13.77,5646408.0
2022-04-29,13.8,14.5,13.66,14.34,3804722.0
2022-05-05,14.4,14.87,14.22,14.39,3779633.0
2022-05-06,14.19,14.35,14.03,14.08,2299782.0
2022-05-09,14.17,14.45,14.0,14.13,2240500.0
2022-05-10,14.02,14.59,13.91,14.15,3627049.0
2022-05-11,14.18,14.44,14.11,14.11,2542015.0
2022-05-12,14.11,14.2,13.97,14.16,1840820.0
2022-05-13,14.18,14.25,14.0,14.09,1386133.0
2022-05-16,14.18,14.32,13.76,14.0,3633878.0
2022-05-17,13.93,14.02,13.63,14.0,3852999.0
2022-05-18,14.03,14.69,13.98,14.42,6009519.0
2022-05-19,14.15,14.62,14.11,14.5,3843796.0
2022-05-20,14.63,14.67,14.42,14.6,2660113.0
2022-05-23,14.64,14.68,14.35,14.58,2881625.0
2022-05-24,14.57,14.78,13.85,13.85,4772477.0
2022-05-25,13.86,14.21,13.8,14.2,2336448.0
2022-05-26,14.18,14.64,14.02,14.45,5385409.0
2022-05-27,14.93,15.08,14.55,14.67,8761430.0
2022-05-30,14.85,15.25,14.52,15.23,12336397.0
2022-05-31,15.2,15.24,14.95,15.18,6780602.0
2022-06-01,15.21,15.35,15.01,15.27,9018536.0
2022-06-02,15.35,15.35,14.95,15.16,6662635.0
2022-06-06,15.17,15.29,15.04,15.16,5619082.0
2022-06-07,15.18,15.18,14.85,14.97,5839337.0
2022-06-08,14.95,15.05,14.46,14.97,7723247.0
2022-06-09,14.85,14.89,14.39,14.55,6463101.0
2022-06-10,14.47,14.9,14.41,14.82,5147269.0
2022-06-13,14.88,15.11,14.69,15.04,5606973.0
2022-06-14,14.91,15.26,14.23,15.11,10768030.0
2022-06-15,15.11,15.38,15.02,15.17,6627863.0
2022-06-16,15.2,15.36,15.01,15.11,3796310.0
2022-06-17,14.98,15.19,14.86,15.1,4270816.0
2022-06-20,15.1,15.5,15.05,15.45,6513647.0
2022-06-21,15.5,15.5,15.05,15.26,4597661.0
2022-06-22,15.38,15.4,14.95,15.02,5371403.0
2022-06-23,15.03,15.4,14.91,15.34,5170269.0
2022-06-24,15.36,15.71,15.34,15.4,5657246.0
2022-06-27,15.54,15.54,15.16,15.23,5119895.0
2022-06-28,15.19,15.38,15.19,15.3,6598226.0
2022-06-29,15.21,15.35,14.72,14.76,7835800.0
2022-06-30,14.77,14.93,14.74,14.85,4795211.0
2022-07-01,14.9,15.04,14.7,14.77,4342206.0
2022-07-04,14.77,14.96,14.6,14.91,4005706.0
2022-07-05,14.93,14.98,14.55,14.74,4307380.0
2022-07-06,14.71,14.82,14.38,14.51,4749489.0
2022-07-07,14.52,15.16,14.47,15.07,8901551.0
2022-07-08,15.14,15.27,14.85,15.12,5476269.0
2022-07-11,15.0,15.07,14.62,14.71,3970370.0
2022-07-12,14.69,14.73,14.33,14.4,4030593.0
2022-07-13,15.11,15.7,14.85,15.55,27577322.0
2022-07-14,15.55,16.3,15.42,16.02,17216599.0
2022-07-15,15.92,16.21,15.84,15.84,8744410.0
2022-07-18,15.94,16.36,15.76,16.15,9126996.0
2022-07-19,16.14,16.49,15.93,16.18,7217029.0
2022-07-20,16.2,16.76,16.19,16.54,13326795.0
2022-07-21,16.41,17.0,16.29,16.64,12076591.0
2022-07-22,16.62,16.76,16.3,16.59,6480114.0
2022-07-25,16.59,16.73,16.12,16.27,5062143.0
2022-07-26,16.34,16.39,16.0,16.31,3898348.0
2022-07-27,16.34,16.63,16.21,16.31,7434054.0
2022-07-28,16.44,16.54,16.28,16.36,7436172.0
2022-07-29,16.46,16.57,16.05,16.09,6826358.0
2022-08-01,16.1,16.5,16.06,16.25,7263038.0
2022-08-02,16.35,16.63,15.86,15.98,9509264.0
2022-08-03,15.97,16.92,15.88,16.25,23434816.0
2022-08-04,16.3,16.48,15.93,16.0,14397350.0
2022-08-05,15.86,16.18,15.77,16.0,9471598.0
